level1,level2,level3,code
General Economics and Teaching,General Economics,General,A10
General Economics and Teaching,General Economics,Role of Economics; Role of Economists; Market for Economists,A11
General Economics and Teaching,General Economics,Relation of Economics to Other Disciplines,A12
General Economics and Teaching,General Economics,Relation of Economics to Social Values,A13
General Economics and Teaching,General Economics,Sociology of Economics,A14
General Economics and Teaching,General Economics,Other,A19
General Economics and Teaching,Economic Education and Teaching of Economics,General,A20
General Economics and Teaching,Economic Education and Teaching of Economics,Pre-college,A21
General Economics and Teaching,Economic Education and Teaching of Economics,Undergraduate,A22
General Economics and Teaching,Economic Education and Teaching of Economics,Graduate,A23
General Economics and Teaching,Economic Education and Teaching of Economics,Other,A29
General Economics and Teaching,Collective Works,General,A30
General Economics and Teaching,Collective Works,Collected Writings of Individuals,A31
General Economics and Teaching,Collective Works,Collective Volumes,A32
General Economics and Teaching,Collective Works,Handbooks,A33
General Economics and Teaching,Collective Works,Other,A39
"History of Economic Thought, Methodology, and Heterodox Approaches",General,General,B00
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,General,B10
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,"Preclassical (Ancient, Medieval, Mercantilist, Physiocratic)",B11
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Classical (includes Adam Smith),B12
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,"Neoclassical through 1925 (Austrian, Marshallian, Walrasian, Wicksellian)",B13
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Socialist; Marxist,B14
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Historical; Institutional; Evolutionary,B15
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Quantitative and Mathematical,B16
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,International Trade and Finance,B17
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Other,B19
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,General,B20
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Microeconomics,B21
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Macroeconomics,B22
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Econometrics; Quantitative and Mathematical Studies,B23
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Socialist; Marxist; Sraffian,B24
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Historical; Institutional; Evolutionary; Austrian; Stockholm School,B25
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Financial Economics,B26
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,International Trade and Finance,B27
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Other,B29
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought:  Individuals,General,B30
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought:  Individuals,Individuals,B31
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought:  Individuals,Obituaries,B32
"History of Economic Thought, Methodology, and Heterodox Approaches",Economic Methodology,General,B40
"History of Economic Thought, Methodology, and Heterodox Approaches",Economic Methodology,Economic Methodology,B41
"History of Economic Thought, Methodology, and Heterodox Approaches",Economic Methodology,Other,B49
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,General,B50
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Socialist; Marxian; Sraffian,B51
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Historical; Institutional; Evolutionary,B52
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Austrian,B53
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Feminist Economics,B54
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Social Economics,B55
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Other,B59
Mathematical and Quantitative Methods,General,General,C00
Mathematical and Quantitative Methods,General,Econometrics,C01
Mathematical and Quantitative Methods,General,Mathematical Methods,C02
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,General,C10
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Bayesian Analysis: General,C11
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Hypothesis Testing: General,C12
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Estimation: General,C13
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Semiparametric and Nonparametric Methods: General,C14
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Statistical Simulation Methods: General,C15
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Methodological Issues: General,C18
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Other,C19
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,General,C20
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Cross-Sectional Models; Spatial Models; Treatment Effect Models; Quantile Regressions,C21
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Time-Series Models; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Diffusion Processes,C22
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Panel Data Models; Spatio-temporal Models,C23
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Truncated and Censored Models; Switching Regression Models; Threshold Regression Models,C24
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Discrete Regression and Qualitative Choice Models; Discrete Regressors; Proportions; Probabilities,C25
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Instrumental Variables (IV) Estimation,C26
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Other,C29
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,General,C30
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,Cross-Sectional Models; Spatial Models; Treatment Effect Models; Quantile Regressions; Social Interaction Models,C31
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,Time-Series Models; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Diffusion Processes; State Space Models,C32
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,Panel Data Models; Spatio-temporal Models,C33
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,Truncated and Censored Models; Switching Regression Models,C34
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,Discrete Regression and Qualitative Choice Models; Discrete Regressors; Proportions,C35
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,Instrumental Variables (IV) Estimation,C36
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,Classification Methods; Cluster Analysis; Principal Components; Factor Models,C38
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,Other,C39
Mathematical and Quantitative Methods,Econometric and Statistical Methods:  Special Topics,General,C40
Mathematical and Quantitative Methods,Econometric and Statistical Methods:  Special Topics,Duration Analysis; Optimal Timing Strategies,C41
Mathematical and Quantitative Methods,Econometric and Statistical Methods:  Special Topics,Index Numbers and Aggregation,C43
Mathematical and Quantitative Methods,Econometric and Statistical Methods:  Special Topics,Operations Research; Statistical Decision Theory ,C44
Mathematical and Quantitative Methods,Econometric and Statistical Methods:  Special Topics,Neural Networks and Related Topics,C45
Mathematical and Quantitative Methods,Econometric and Statistical Methods:  Special Topics,Specific Distributions; Specific Statistics,C46
Mathematical and Quantitative Methods,Econometric and Statistical Methods:  Special Topics,Other,C49
Mathematical and Quantitative Methods,Econometric Modeling,General,C50
Mathematical and Quantitative Methods,Econometric Modeling,Model Construction and Estimation,C51
Mathematical and Quantitative Methods,Econometric Modeling,"Model Evaluation, Validation, and Selection",C52
Mathematical and Quantitative Methods,Econometric Modeling,Forecasting and Prediction Methods; Simulation Methods,C53
Mathematical and Quantitative Methods,Econometric Modeling,Quantitative Policy Modeling,C54
Mathematical and Quantitative Methods,Econometric Modeling,Large Data Sets: Modeling and Analysis,C55
Mathematical and Quantitative Methods,Econometric Modeling,Econometrics of Games and Auctions,C57
Mathematical and Quantitative Methods,Econometric Modeling,Financial Econometrics,C58
Mathematical and Quantitative Methods,Econometric Modeling,Other,C59
Mathematical and Quantitative Methods,Mathematical Methods; Programming Models; Mathematical and Simulation Modeling,General,C60
Mathematical and Quantitative Methods,Mathematical Methods; Programming Models; Mathematical and Simulation Modeling,Optimization Techniques; Programming Models; Dynamic Analysis,C61
Mathematical and Quantitative Methods,Mathematical Methods; Programming Models; Mathematical and Simulation Modeling,Existence and Stability Conditions of Equilibrium,C62
Mathematical and Quantitative Methods,Mathematical Methods; Programming Models; Mathematical and Simulation Modeling,Computational Techniques; Simulation Modeling,C63
Mathematical and Quantitative Methods,Mathematical Methods; Programming Models; Mathematical and Simulation Modeling,Miscellaneous Mathematical Tools,C65
Mathematical and Quantitative Methods,Mathematical Methods; Programming Models; Mathematical and Simulation Modeling,Input&ndash;Output Models,C67
Mathematical and Quantitative Methods,Mathematical Methods; Programming Models; Mathematical and Simulation Modeling,Computable General Equilibrium Models,C68
Mathematical and Quantitative Methods,Mathematical Methods; Programming Models; Mathematical and Simulation Modeling,Other,C69
Mathematical and Quantitative Methods,Game Theory and Bargaining Theory,General,C70
Mathematical and Quantitative Methods,Game Theory and Bargaining Theory,Cooperative Games,C71
Mathematical and Quantitative Methods,Game Theory and Bargaining Theory,Noncooperative Games,C72
Mathematical and Quantitative Methods,Game Theory and Bargaining Theory,Stochastic and Dynamic Games; Evolutionary Games; Repeated Games,C73
Mathematical and Quantitative Methods,Game Theory and Bargaining Theory,Bargaining Theory; Matching Theory,C78
Mathematical and Quantitative Methods,Game Theory and Bargaining Theory,Other,C79
Mathematical and Quantitative Methods,Data Collection and Data Estimation Methodology; Computer Programs,General,C80
Mathematical and Quantitative Methods,Data Collection and Data Estimation Methodology; Computer Programs,"Methodology for Collecting, Estimating, and Organizing Microeconomic Data; Data Access",C81
Mathematical and Quantitative Methods,Data Collection and Data Estimation Methodology; Computer Programs,"Methodology for Collecting, Estimating, and Organizing Macroeconomic Data; Data Access",C82
Mathematical and Quantitative Methods,Data Collection and Data Estimation Methodology; Computer Programs,Survey Methods; Sampling Methods,C83
Mathematical and Quantitative Methods,Data Collection and Data Estimation Methodology; Computer Programs,Econometric Software,C87
Mathematical and Quantitative Methods,Data Collection and Data Estimation Methodology; Computer Programs,Other Computer Software,C88
Mathematical and Quantitative Methods,Data Collection and Data Estimation Methodology; Computer Programs,Other,C89
Mathematical and Quantitative Methods,Design of Experiments,General,C90
Mathematical and Quantitative Methods,Design of Experiments,"Laboratory, Individual Behavior",C91
Mathematical and Quantitative Methods,Design of Experiments,"Laboratory, Group Behavior",C92
Mathematical and Quantitative Methods,Design of Experiments,Field Experiments,C93
Mathematical and Quantitative Methods,Design of Experiments,Other,C99
Microeconomics,General,General,D00
Microeconomics,General,Microeconomic Behavior: Underlying Principles,D01
Microeconomics,General,"Institutions: Design, Formation, Operations, and Impact",D02
Microeconomics,General,"Microeconomic Policy: Formulation, Implementation, and Evaluation",D04
Microeconomics,Household Behavior and Family Economics,General,D10
Microeconomics,Household Behavior and Family Economics,Consumer Economics: Theory,D11
Microeconomics,Household Behavior and Family Economics,Consumer Economics: Empirical Analysis,D12
Microeconomics,Household Behavior and Family Economics,Household Production and Intrahousehold Allocation,D13
Microeconomics,Household Behavior and Family Economics,Household Saving; Personal Finance,D14
Microeconomics,Household Behavior and Family Economics,Intertemporal Household Choice; Life Cycle Models and Saving,D15
Microeconomics,Household Behavior and Family Economics,Collaborative Consumption,D16
Microeconomics,Household Behavior and Family Economics,Consumer Protection,D18
Microeconomics,Household Behavior and Family Economics,Other,D19
Microeconomics,Production and Organizations,General,D20
Microeconomics,Production and Organizations,Firm Behavior: Theory,D21
Microeconomics,Production and Organizations,Firm Behavior: Empirical Analysis,D22
Microeconomics,Production and Organizations,Organizational Behavior; Transaction Costs; Property Rights,D23
Microeconomics,Production and Organizations,"Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity",D24
Microeconomics,Production and Organizations,"Intertemporal Firm Choice: Investment, Capacity, and Financing",D25
Microeconomics,Production and Organizations,Crowd-Based Firms,D26
Microeconomics,Production and Organizations,Other,D29
Microeconomics,Distribution,General,D30
Microeconomics,Distribution,"Personal Income, Wealth, and Their Distributions",D31
Microeconomics,Distribution,Factor Income Distribution,D33
Microeconomics,Distribution,Other,D39
Microeconomics,"Market Structure, Pricing, and Design",General,D40
Microeconomics,"Market Structure, Pricing, and Design",Perfect Competition,D41
Microeconomics,"Market Structure, Pricing, and Design",Monopoly,D42
Microeconomics,"Market Structure, Pricing, and Design",Oligopoly and Other Forms of Market Imperfection,D43
Microeconomics,"Market Structure, Pricing, and Design",Auctions,D44
Microeconomics,"Market Structure, Pricing, and Design",Rationing; Licensing,D45
Microeconomics,"Market Structure, Pricing, and Design",Value Theory,D46
Microeconomics,"Market Structure, Pricing, and Design",Market Design,D47
Microeconomics,"Market Structure, Pricing, and Design",Other,D49
Microeconomics,General Equilibrium and Disequilibrium,General,D50
Microeconomics,General Equilibrium and Disequilibrium,Exchange and Production Economies,D51
Microeconomics,General Equilibrium and Disequilibrium,Incomplete Markets,D52
Microeconomics,General Equilibrium and Disequilibrium,Financial Markets,D53
Microeconomics,General Equilibrium and Disequilibrium,Input&ndash;Output Tables and Analysis,D57
Microeconomics,General Equilibrium and Disequilibrium,Computable and Other Applied General Equilibrium Models,D58
Microeconomics,General Equilibrium and Disequilibrium,Other,D59
Microeconomics,Welfare Economics,General,D60
Microeconomics,Welfare Economics,Allocative Efficiency; Cost&ndash;Benefit Analysis,D61
Microeconomics,Welfare Economics,Externalities,D62
Microeconomics,Welfare Economics,"Equity, Justice, Inequality, and Other Normative Criteria and Measurement",D63
Microeconomics,Welfare Economics,Altruism; Philanthropy; Intergenerational Transfers,D64
Microeconomics,Welfare Economics,Other,D69
Microeconomics,Analysis of Collective Decision-Making,General,D70
Microeconomics,Analysis of Collective Decision-Making,Social Choice; Clubs; Committees; Associations,D71
Microeconomics,Analysis of Collective Decision-Making,"Political Processes: Rent-Seeking, Lobbying, Elections, Legislatures, and Voting Behavior",D72
Microeconomics,Analysis of Collective Decision-Making,Bureaucracy; Administrative Processes in Public Organizations; Corruption,D73
Microeconomics,Analysis of Collective Decision-Making,Conflict; Conflict Resolution; Alliances; Revolutions,D74
Microeconomics,Analysis of Collective Decision-Making,Positive Analysis of Policy Formulation and Implementation,D78
Microeconomics,Analysis of Collective Decision-Making,Other,D79
Microeconomics,"Information, Knowledge, and Uncertainty",General,D80
Microeconomics,"Information, Knowledge, and Uncertainty",Criteria for Decision-Making under Risk and Uncertainty,D81
Microeconomics,"Information, Knowledge, and Uncertainty",Asymmetric and Private Information; Mechanism Design,D82
Microeconomics,"Information, Knowledge, and Uncertainty",Search; Learning; Information and Knowledge; Communication; Belief; Unawareness,D83
Microeconomics,"Information, Knowledge, and Uncertainty",Expectations; Speculations,D84
Microeconomics,"Information, Knowledge, and Uncertainty",Network Formation and Analysis: Theory,D85
Microeconomics,"Information, Knowledge, and Uncertainty",Economics of Contract: Theory,D86
Microeconomics,"Information, Knowledge, and Uncertainty",Neuroeconomics,D87
Microeconomics,"Information, Knowledge, and Uncertainty",Other,D89
Microeconomics,Micro-Based Behavioral Economics,General,D90
Microeconomics,Micro-Based Behavioral Economics,"Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on Decision Making",D91
Macroeconomics and Monetary Economics,General,General,E00
Macroeconomics and Monetary Economics,General,Measurement and Data on National Income and Product Accounts and Wealth; Environmental Accounts,E01
Macroeconomics and Monetary Economics,General,Institutions and the Macroeconomy,E02
Macroeconomics and Monetary Economics,General Aggregative Models,General,E10
Macroeconomics and Monetary Economics,General Aggregative Models,Marxian; Sraffian; Kaleckian,E11
Macroeconomics and Monetary Economics,General Aggregative Models,Keynes; Keynesian; Post-Keynesian,E12
Macroeconomics and Monetary Economics,General Aggregative Models,Austrian; Evolutionary; Institutional ,E14
Macroeconomics and Monetary Economics,General Aggregative Models,Neoclassical,E13
Macroeconomics and Monetary Economics,General Aggregative Models,Social Accounting Matrix,E16
Macroeconomics and Monetary Economics,General Aggregative Models,Forecasting and Simulation: Models and Applications,E17
Macroeconomics and Monetary Economics,General Aggregative Models,Other,E19
Macroeconomics and Monetary Economics,"Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy",General,E20
Macroeconomics and Monetary Economics,"Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy",Consumption; Saving; Wealth,E21
Macroeconomics and Monetary Economics,"Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy",Investment; Capital; Intangible Capital; Capacity,E22
Macroeconomics and Monetary Economics,"Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy",Production,E23
Macroeconomics and Monetary Economics,"Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy",Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity,E24
Macroeconomics and Monetary Economics,"Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy",Aggregate Factor Income Distribution,E25
Macroeconomics and Monetary Economics,"Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy",Informal Economy; Underground Economy,E26
Macroeconomics and Monetary Economics,"Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy",Forecasting and Simulation: Models and Applications,E27
Macroeconomics and Monetary Economics,"Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy",Other,E29
Macroeconomics and Monetary Economics,"Prices, Business Fluctuations, and Cycles",General,E30
Macroeconomics and Monetary Economics,"Prices, Business Fluctuations, and Cycles",Price Level; Inflation; Deflation,E31
Macroeconomics and Monetary Economics,"Prices, Business Fluctuations, and Cycles",Business Fluctuations; Cycles,E32
Macroeconomics and Monetary Economics,"Prices, Business Fluctuations, and Cycles",Forecasting and Simulation: Models and Applications,E37
Macroeconomics and Monetary Economics,"Prices, Business Fluctuations, and Cycles",Other,E39
Macroeconomics and Monetary Economics,Money and Interest Rates,General,E40
Macroeconomics and Monetary Economics,Money and Interest Rates,Demand for Money,E41
Macroeconomics and Monetary Economics,Money and Interest Rates,Monetary Systems; Standards; Regimes; Government and the Monetary System; Payment Systems,E42
Macroeconomics and Monetary Economics,Money and Interest Rates,"Interest Rates: Determination, Term Structure, and Effects ",E43
Macroeconomics and Monetary Economics,Money and Interest Rates,Financial Markets and the Macroeconomy,E44
Macroeconomics and Monetary Economics,Money and Interest Rates,Forecasting and Simulation: Models and Applications,E47
Macroeconomics and Monetary Economics,Money and Interest Rates,Other,E49
Macroeconomics and Monetary Economics,"Monetary Policy, Central Banking, and the Supply of Money and Credit",General,E50
Macroeconomics and Monetary Economics,"Monetary Policy, Central Banking, and the Supply of Money and Credit",Money Supply; Credit; Money Multipliers,E51
Macroeconomics and Monetary Economics,"Monetary Policy, Central Banking, and the Supply of Money and Credit",Monetary Policy,E52
Macroeconomics and Monetary Economics,"Monetary Policy, Central Banking, and the Supply of Money and Credit",Central Banks and Their Policies,E58
Macroeconomics and Monetary Economics,"Monetary Policy, Central Banking, and the Supply of Money and Credit",Other,E59
Macroeconomics and Monetary Economics,"Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook",General,E60
Macroeconomics and Monetary Economics,"Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook",Policy  Objectives; Policy Designs and Consistency; Policy Coordination,E61
Macroeconomics and Monetary Economics,"Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook",Fiscal Policy,E62
Macroeconomics and Monetary Economics,"Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook",Comparative or Joint Analysis of Fiscal and Monetary Policy; Stabilization; Treasury Policy,E63
Macroeconomics and Monetary Economics,"Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook",Incomes Policy; Price Policy,E64
Macroeconomics and Monetary Economics,"Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook",Studies of Particular Policy Episodes,E65
Macroeconomics and Monetary Economics,"Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook",General Outlook and Conditions,E66
Macroeconomics and Monetary Economics,"Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook",Other,E69
Macroeconomics and Monetary Economics,Macro-Based Behavioral Economics,General,E70
Macroeconomics and Monetary Economics,Macro-Based Behavioral Economics,"Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on the Macro Economy",E71
International Economics,General,General,F00
International Economics,General,Global Outlook,F01
International Economics,General,International Economic Order and Integration,F02
International Economics,Trade,General,F10
International Economics,Trade,Neoclassical Models of Trade,F11
International Economics,Trade,Models of Trade with Imperfect Competition and Scale Economies; Fragmentation,F12
International Economics,Trade,Trade Policy; International Trade Organizations,F13
International Economics,Trade,Empirical Studies of Trade,F14
International Economics,Trade,Economic Integration,F15
International Economics,Trade,Trade and Labor Market Interactions,F16
International Economics,Trade,Trade Forecasting and Simulation,F17
International Economics,Trade,Trade and Environment,F18
International Economics,Trade,Other,F19
International Economics,International Factor Movements and International Business,General,F20
International Economics,International Factor Movements and International Business,International Investment; Long-Term Capital Movements,F21
International Economics,International Factor Movements and International Business,International Migration,F22
International Economics,International Factor Movements and International Business,Multinational Firms; International Business,F23
International Economics,International Factor Movements and International Business,Remittances,F24
International Economics,International Factor Movements and International Business,Other,F29
International Economics,International Finance,General,F30
International Economics,International Finance,Foreign Exchange,F31
International Economics,International Finance,Current Account Adjustment; Short-Term Capital Movements,F32
International Economics,International Finance,International Monetary Arrangements and Institutions,F33
International Economics,International Finance,International Lending and Debt Problems,F34
International Economics,International Finance,Foreign Aid,F35
International Economics,International Finance,Financial Aspects of Economic Integration,F36
International Economics,International Finance,International Finance Forecasting and Simulation: Models and Applications,F37
International Economics,International Finance,International Financial Policy: Financial Transactions Tax; Capital Controls,F38
International Economics,International Finance,Other,F39
International Economics,Macroeconomic Aspects of International Trade and Finance,General,F40
International Economics,Macroeconomic Aspects of International Trade and Finance,Open Economy Macroeconomics,F41
International Economics,Macroeconomic Aspects of International Trade and Finance,International Policy Coordination and Transmission,F42
International Economics,Macroeconomic Aspects of International Trade and Finance,Economic Growth of Open Economies,F43
International Economics,Macroeconomic Aspects of International Trade and Finance,International Business Cycles,F44
International Economics,Macroeconomic Aspects of International Trade and Finance,Macroeconomic Issues of Monetary Unions,F45
International Economics,Macroeconomic Aspects of International Trade and Finance,Forecasting and Simulation: Models and Applications,F47
International Economics,Macroeconomic Aspects of International Trade and Finance,Other,F49
International Economics,"International Relations, National Security, and International Political Economy",General,F50
International Economics,"International Relations, National Security, and International Political Economy",International Conflicts; Negotiations; Sanctions,F51
International Economics,"International Relations, National Security, and International Political Economy",National Security; Economic Nationalism,F52
International Economics,"International Relations, National Security, and International Political Economy",International Agreements and Observance; International Organizations,F53
International Economics,"International Relations, National Security, and International Political Economy",Colonialism; Imperialism; Postcolonialism,F54
International Economics,"International Relations, National Security, and International Political Economy",International Institutional Arrangements,F55
International Economics,"International Relations, National Security, and International Political Economy",Other,F59
